Date,Open,High,Low,Close,Volume,Adj Close
6/1/15,180,180,175,179,600800,173.948
5/29/15,182.5,184.5,175,176.5,1817200,171.519
5/28/15,185,185,179.5,184.5,28300,179.293
5/27/15,179,182.374,178.5,179.875,34200,174.799
5/26/15,183,183.5,179,180.875,255500,175.77
5/25/15,181.25,181.25,181.25,181.25,0,176.135
5/22/15,179,181.75,178.2,181.25,20500,176.135
5/21/15,175,179,174,177.25,46400,172.248
5/20/15,178,179.489,175,175.5,1238100,170.547
5/19/15,178,180,177.231,178.875,57700,173.827
5/18/15,178,178,175.06,178,20900,172.976
5/15/15,179.75,180.54,175.5,175.5,9800,170.547
5/14/15,179.75,180,177.5,178,18400,172.976
5/13/15,178,181,177,177.5,53500,172.491
5/12/15,172,176.5,172,176.5,16100,171.519
5/11/15,175,175,170.25,174.5,9800,169.575
5/8/15,170,177.284,170,171,72200,166.174
5/7/15,172,173.5,172,173.5,34600,168.603
5/6/15,170,172,169.25,170.25,51600,165.445
5/5/15,166,170,165,168.5,45000,163.745
5/4/15,166.5,166.5,166.5,166.5,0,161.801
5/1/15,167,170.96,166.5,166.5,19700,161.801
4/30/15,168,171,167,167.5,29700,162.773
4/29/15,167,172,167,168,36500,163.259
4/28/15,172,172,167.231,168.5,31400,163.745
4/27/15,164,172,163.02,171,120400,166.174
4/24/15,160.25,160.25,160.25,161.25,17700,156.699
4/23/15,164,164,161,161.75,16700,157.185
4/22/15,161.25,164,161.25,161.5,33400,156.942
4/21/15,161.25,165,161.25,161.5,15700,156.942
4/20/15,166,166,161.5,162.25,30500,157.671
4/17/15,165.25,165.25,161.489,163.625,19600,159.007
4/16/15,163,163,160.25,160.25,4300,155.727
4/15/15,163,163,160.25,163,4700,158.4
4/14/15,163,163,159.3,163,8300,158.4
4/13/15,159,162,159,159.75,31900,155.242
4/10/15,160,161.75,159,161.75,24400,157.185
4/9/15,161,161,156.5,159.75,14200,155.242
4/8/15,155.5,161,154,159.5,848300,154.999
