Date,Open,High,Low,Close,Volume,Adj Close
5/29/15,79.95,80.07,78.88,79.19,16083900,79.19
5/28/15,80.25,81.07,80,80.15,11963700,80.15
5/27/15,79.6,80.66,79.43,80.55,14065100,80.55
5/26/15,80.43,80.6,79.08,79.33,16238400,79.33
5/22/15,80.35,81.31,80.25,80.54,19533100,80.54
5/21/15,80.19,80.92,80.08,80.48,13359400,80.48
5/20/15,80.47,81.1,79.46,80.55,23005300,80.55
5/19/15,81.25,81.69,80.55,80.63,17931800,80.63
5/18/15,80.33,81.38,80.23,80.88,21077200,80.88
5/15/15,81.41,81.52,80.18,80.42,27011300,80.42
5/14/15,78.94,81.85,78.67,81.37,49281400,81.37
5/13/15,77.72,78.53,77.65,78.44,21432100,78.44
5/12/15,77.87,77.89,76.79,77.46,21285300,77.46
5/11/15,78.48,79.03,77.93,78.01,18802300,78.01
5/8/15,79.1,79.23,78.03,78.51,19804000,78.51
5/7/15,78,78.94,77.56,78.43,19697600,78.43
5/6/15,77.97,78.81,77.05,78.1,28525000,78.1
5/5/15,78.55,78.8,77.22,77.56,22158400,77.56
5/4/15,79.33,79.69,78.63,78.81,14636600,78.81
5/1/15,79.24,79.76,78.11,78.99,22783300,78.99
4/30/15,80.01,80.96,78.32,78.77,28700400,78.77
4/29/15,80.01,81.39,79.52,80.47,26285800,80.47
4/28/15,81.83,81.9,80.23,80.68,23638900,80.68
4/27/15,81.87,82.93,81.63,81.91,25335400,81.91
4/24/15,82.77,82.94,81.48,81.53,29576500,81.53
4/23/15,84.1,85.59,82.41,82.41,73512600,82.41
4/22/15,84.32,84.74,83.65,84.63,39108800,84.63
4/21/15,84,84.49,83.54,83.62,26761200,83.62
4/20/15,81.54,83.15,81.24,83.09,28796800,83.09
4/17/15,81.48,82.11,80.37,80.78,24076300,80.78
4/16/15,82.47,83.07,82.15,82.31,13769700,82.31
4/15/15,83.55,83.66,82.27,82.71,22390900,82.71
4/14/15,83.17,83.69,82.44,83.52,19634200,83.52
4/13/15,81.93,83.94,81.92,83.01,26883100,83.01
4/10/15,82.21,82.61,81.91,82.04,12529700,82.04
4/9/15,82.5,82.8,81.71,82.17,15927300,82.17
4/8/15,82.63,83.1,81.84,82.28,18966700,82.28
4/7/15,82.65,83.42,82.22,82.32,17467000,82.32
4/6/15,80.8,82.81,80.8,82.44,19062900,82.44
