Date,Open,High,Low,Close,Volume,Adj Close
5/29/15,208.23,208.27,205.62,206.19,2245300,206.19
5/28/15,208.08,208.59,207.28,208.48,3084900,208.48
5/27/15,206.89,209.67999,205.87,209.06,3011500,208.41
5/26/15,207.52,207.52,205,206.38,3336300,205.73834
5/22/15,204.66,208.25999,204.63,207.8,3040400,207.15392
5/21/15,204.60001,205.21001,204.17999,204.95,2225000,204.31277
5/20/15,205.17,205.96001,204.14999,205.08,1831200,204.44238
5/19/15,204.99001,206.2,204.55,205.39999,2370100,204.76137
5/18/15,202.64999,205.17999,202.64,204.66,2164600,204.02368
5/15/15,202.55,202.97,201.82001,202.97,1742900,202.33893
5/14/15,202.33,202.88,201.42999,202.62,1957000,201.99002
5/13/15,200.47,201.75,199.85001,201.42999,2143300,200.80371
5/12/15,200.48,201.03999,198.07001,200.53,2247500,199.90652
5/11/15,200.28999,201.95,200.28999,201.73,1966700,201.10278
5/8/15,199.10001,201.34,199.10001,200.5,3192500,199.87662
5/7/15,196.25999,197.95,194.81,197.39,1795300,196.77628
5/6/15,197.75,198.59,194.00999,196.25,2433700,195.63983
5/5/15,198.31,200.39,196.72,197.28999,2287500,196.67659
5/4/15,198.25999,199.72,197.89999,199.3,1581600,198.68034
5/1/15,198.45,198.57001,196.83,197.53,2029500,196.91585
4/30/15,198.39999,199.75,195.39999,196.42,2732800,195.8093
4/29/15,195.78999,199.73,195.48,198.56,2480600,197.94264
4/28/15,196.2,197.61,194.39999,197.49001,1909400,196.87598
4/27/15,198.75999,199.31,196.37,196.52,1767100,195.909
4/24/15,199,199.10001,197.45,197.99001,1445700,197.37442
4/23/15,198.16,200.49001,197.60001,199.31,2053400,198.69031
4/22/15,197.91,199.16,196.57001,198.32001,1938100,197.7034
4/21/15,198.97,199.5,196.58,196.84,1868300,196.228
4/20/15,199.07001,199.60001,197.92,198.10001,2616600,197.48409
4/17/15,197.84,198.25,195.64999,197.35001,4578400,196.73642
4/16/15,202.7,202.87,198.7,200.21001,5976900,199.58752
4/15/15,198.21001,202.14,197.39,201.10001,5066100,200.47476
4/14/15,196.98,198.49001,195.71001,197.72,3267400,197.10526
4/13/15,195.32001,197.38,194.77,195.58,2196100,194.97191
4/10/15,194.64999,195.86,194.09,195.64,1764800,195.03172
4/9/15,192.86,195.09,192.41,194.89,1986500,194.28406
4/8/15,193.03999,193.85001,192.2,192.56,1997300,191.9613
4/7/15,192.52,193.64,192.24001,192.39,1778000,191.79182
4/6/15,190.17999,192.64,188.95,192.05,1997000,191.4529
