Date,Open,High,Low,Close,Volume,Adj Close
5/29/15,97.59,97.77,95.84,95.93,6243400,95.93
5/28/15,98,98.21,96.2,96.48,10204000,96.48
5/27/15,98.97,99.22,98.2,98.66,8129500,97.81001
5/26/15,98.85,99.2,98.04,98.46,7123100,97.61172
5/22/15,99.15,99.48,98.84,98.99,4559500,98.13715
5/21/15,99.89,99.96,99.06,99.28,4729500,98.42466
5/20/15,100.88,100.98,99.42,100.11,6185100,99.24751
5/19/15,98.09,101.08,97.65,100.68,10809200,99.8126
5/18/15,97.97,98.25,97.62,98.02,4100800,97.17551
5/15/15,97.74,99.04,97.54,98.04,7607200,97.19534
5/14/15,97.66,97.87,97.28,97.71,4744000,96.86819
5/13/15,98.07,98.49,97.28,97.35,6526900,96.51128
5/12/15,97.39,98.35,96.92,97.95,4848100,97.10612
5/11/15,98.07,98.39,97.15,97.51,4123700,96.66991
5/8/15,98.19,99.15,97.79,98.23,7543100,97.38371
5/7/15,96.27,97.33,96.12,96.78,5018900,95.9462
5/6/15,96.1,96.66,95.88,96.39,6614500,95.55956
5/5/15,96.39,96.47,95.57,96.13,7637000,95.3018
5/4/15,96.57,98.63,96.05,96.13,8426300,95.3018
5/1/15,96.73,97.97,96.73,97.8,6280300,96.95741
4/30/15,96.65,97.37,96.41,96.55,8300300,95.71819
4/29/15,96.58,97.67,96.07,97.02,5697200,96.18413
4/28/15,96.27,96.89,95.78,96.83,4357400,95.99577
4/27/15,98.74,98.94,96.26,96.44,7282700,95.60913
4/24/15,96.99,99.08,96.84,98.74,7741300,97.88931
4/23/15,97.44,97.52,96.56,97,6336500,96.16431
4/22/15,97,99.35,96.24,97.84,19254300,96.99706
4/21/15,96.19,96.55,94.54,94.87,5981700,94.05266
4/20/15,95,96.26,95,96.18,4382400,95.35136
4/17/15,95.13,95.35,94.46,94.88,6933600,94.06257
4/16/15,96.37,97.44,95.51,95.63,5071700,94.80611
4/15/15,97,97.55,96.28,96.44,6604400,95.60913
4/14/15,97.16,97.74,96.97,97.58,4961100,96.73931
4/13/15,97.41,97.75,97.07,97.44,5197900,96.60052
4/10/15,96.9,97.95,96.56,97.8,5937800,96.95741
4/9/15,96.85,97.43,96.21,96.55,4790000,95.71819
4/8/15,96.73,97.5,95.98,96.85,4445200,96.01559
4/7/15,96.24,96.79,96.1,96.35,4443700,95.51991
4/6/15,95.75,96.82,95.45,96.28,4501300,95.45051
