Date,Open,High,Low,Close,Volume,Adj Close
5/29/15,47.43,47.57,46.59,46.86,35428100,46.86
5/28/15,47.5,48.02,47.39,47.45,19283700,47.45
5/27/15,46.82,47.77,46.62,47.61,27335600,47.61
5/26/15,46.83,46.88,46.19,46.59,29581900,46.59
5/22/15,47.3,47.35,46.82,46.9,25720600,46.9
5/21/15,47.28,47.6,47.01,47.42,22410700,47.42
5/20/15,47.39,47.93,47.27,47.58,25047900,47.58
5/19/15,47.56,47.81,47.18,47.58,28574800,47.58
5/18/15,47.98,48.22,47.61,48.01,24136500,47.7
5/15/15,48.87,48.91,48.05,48.3,28642700,47.98813
5/14/15,48.03,48.82,48.03,48.72,32980900,48.40542
5/13/15,48.19,48.32,47.57,47.63,34184600,47.32246
5/12/15,46.85,47.68,46.42,47.35,29928300,47.04426
5/11/15,47.55,47.91,47.37,47.37,24609400,47.06413
5/8/15,47.55,47.98,47.52,47.75,35364900,47.44168
5/7/15,46.27,47.09,46.16,46.7,32971700,46.39846
5/6/15,47.57,47.77,46.02,46.28,52433000,45.98117
5/5/15,47.82,48.16,47.31,47.6,50369200,47.29265
5/4/15,48.37,48.87,48.18,48.24,34039500,47.92852
5/1/15,48.58,48.88,48.4,48.66,38937300,48.3458
4/30/15,48.7,49.54,48.6,48.64,64725500,48.32593
4/29/15,48.72,49.31,48.5,49.06,47804600,48.74322
4/28/15,47.78,49.21,47.7,49.16,60730800,48.84258
4/27/15,47.23,48.13,47.22,48.03,59248200,47.71987
4/24/15,45.66,48.14,45.65,47.87,130933700,47.56091
4/23/15,42.89,43.61,42.8,43.34,46309500,43.06015
4/22/15,42.67,43.13,42.55,42.99,25064300,42.71242
4/21/15,43,43.15,42.53,42.64,26013800,42.36467
4/20/15,41.73,43.17,41.68,42.91,46057700,42.63293
4/17/15,41.67,41.74,41.16,41.62,42387600,41.35126
4/16/15,41.95,42.34,41.82,42.16,22509700,41.88778
4/15/15,41.76,42.46,41.68,42.26,27343600,41.98713
4/14/15,41.8,42.03,41.39,41.65,24244400,41.38107
4/13/15,41.4,42.06,41.39,41.76,30276700,41.49036
4/10/15,41.63,41.95,41.41,41.72,28022000,41.45061
4/9/15,41.25,41.62,41.25,41.48,25723900,41.21217
4/8/15,41.46,41.69,41.04,41.42,24753400,41.15255
4/7/15,41.61,41.91,41.31,41.53,28809400,41.26184
4/6/15,40.34,41.78,40.18,41.55,39223700,41.28171
