Date,Open,High,Low,Close,Volume,Adj Close
5/29/15,3412,3438,3362,3374,323200,3374
5/28/15,3398,3413,3385,3406,196300,3406
5/27/15,3387,3413,3383,3406,336500,3406
5/26/15,3438,3441,3368.52,3374,260900,3374
5/25/15,3423,3423,3423,3423,0,3423
5/22/15,3409,3437.7,3406,3423,263800,3423
5/21/15,3413,3420,3398,3407,443400,3407
5/20/15,3406,3419,3395,3415,207500,3415
5/19/15,3393,3415,3383,3406,400000,3406
5/18/15,3376,3406,3349,3378,246000,3378
5/15/15,3365,3408,3349.1,3383,329800,3383
5/14/15,3311,3348,3282,3348,294400,3348
5/13/15,3312,3330,3300,3313,356600,3313
5/12/15,3361,3365,3296,3310,465300,3310
5/11/15,3327,3377,3316,3377,487800,3377
5/8/15,3298,3335,3282,3320,487100,3320
5/7/15,3202,3254,3144,3245,670500,3245
5/6/15,3203,3258,3203,3211,341100,3211
5/5/15,3275,3310,3206,3209,619300,3209
5/4/15,3240,3240,3240,3240,0,3240
5/1/15,3270,3273,3200,3240,291400,3240
4/30/15,3244,3260,3199.4,3247,571600,3247
4/29/15,3298,3313,3258,3259,278500,3259
4/28/15,3320,3334,3258,3279,337000,3279
4/27/15,3307,3346,3278,3336,258000,3336
4/24/15,3300,3327,3290,3306,282700,3306
4/23/15,3285,3315,3276,3302,632100,3302
4/22/15,3329,3347,3259,3287,283100,3287
4/21/15,3312,3355,3307,3329,312200,3329
4/20/15,3261,3298,3261,3287,213300,3287
4/17/15,3344,3354,3252,3259,407700,3259
4/16/15,3381,3381,3312,3342,311800,3342
4/15/15,3376,3389,3354,3363,245000,3363
4/14/15,3379,3390,3357,3372,306500,3372
4/13/15,3387,3412,3374,3390,236200,3390
4/10/15,3346,3405,3337.35,3405,397900,3405
4/9/15,3310,3348,3301,3348,296600,3348
4/8/15,3285,3294,3265,3284,316800,3284
4/7/15,3238,3282,3222.6,3278,365100,3278
