Date,Open,High,Low,Close,Volume,Adj Close
5/29/15,37.05,37.07,36.53,36.67,16515400,36.67
5/28/15,36.49,37.33,36.37,36.83,17858900,36.83
5/27/15,36.5,36.65,36.1,36.41,14444300,36.41
5/26/15,36.67,36.83,36.37,36.51,13026500,36.51
5/22/15,36.7,36.98,36.57,36.6,9808800,36.6
5/21/15,36.81,36.94,36.39,36.68,17413500,36.68
5/20/15,37.49,37.94,36.54,36.78,23280300,36.78
5/19/15,37.14,37.88,36.9,37.5,26903000,37.5
5/18/15,37.1,37.57,36.9,37.28,11207300,37.28
5/15/15,37.36,37.8,37,37.1,16759500,37.1
5/14/15,37.93,38.09,37.27,37.33,14193800,37.33
5/13/15,37.66,38.2,37.53,37.72,14041200,37.72
5/12/15,37.29,37.8,37.06,37.48,11745200,37.48
5/11/15,37.58,37.86,37.2,37.31,12272700,37.31
5/8/15,38.02,38.2,37.55,37.59,14318400,37.59
5/7/15,37.24,37.88,36.95,37.71,21203700,37.71
5/6/15,37.69,37.78,36.52,37.26,29018600,37.26
5/5/15,38,38.61,37.36,37.42,22485400,37.42
5/4/15,38.72,38.96,37.55,37.88,27567200,37.88
5/1/15,39.19,39.24,37.37,37.84,37525500,37.84
4/30/15,39.28,39.74,38.48,38.96,46436700,38.96
4/29/15,40.21,41.09,38.07,38.49,119859000,38.49
4/28/15,52.16,52.22,38.38,42.27,69342000,42.27
4/27/15,50.84,52.54,50.82,51.66,23645200,51.66
4/24/15,51.85,51.96,50.24,50.82,14633400,50.82
4/23/15,51.87,52.2,51.22,51.41,11413500,51.41
4/22/15,51.48,52.09,51.32,51.73,11364900,51.73
4/21/15,51.68,51.85,51.1,51.32,8424900,51.32
4/20/15,51.07,51.48,50.51,51.4,10978300,51.4
4/17/15,51.71,52.16,50.19,50.66,16576000,50.66
4/16/15,51.3,52.34,51.14,52.03,14244400,52.03
4/15/15,51.33,51.87,50.91,51.3,13161400,51.3
4/14/15,51.75,51.81,50.68,51.2,12231600,51.2
4/13/15,51.99,52.29,51.45,51.62,12306500,51.62
4/10/15,52.29,52.45,51.38,51.94,13271200,51.94
4/9/15,52.15,52.99,51.54,52.17,17877700,52.17
4/8/15,53.32,53.49,51.95,52.3,22368900,52.3
4/7/15,51.01,53.28,50.86,52.87,37080800,52.87
4/6/15,50.03,51.16,49.87,50.84,14539700,50.84
